messier,ngc,common_name,object_type,distance,constellation,magnitude,ra,dec
M79[96],NGC 1904,—,,Globular cluster,41,Lepus,7.7,8.7′
M80[97],NGC 6093,—,,Globular cluster,32.6,Scorpius,7.3,10′
M81[98],NGC 3031,Bode's Galaxy,,Spiral galaxy,"11,400–12,200",Ursa Major,6.9,26.9′ × 14.1′
M82[99],NGC 3034,Cigar Galaxy,,Starburst galaxy,"10,700–12,300",Ursa Major,8.4,11.2′ × 4.3′
M83[100],NGC 5236,Southern Pinwheel Galaxy,,Barred Spiral galaxy,"14,700",Hydra,7.6,12.9′ × 11.5′
M84[101],NGC 4374,—,,Lenticular galaxy,"57,000–63,000",Virgo,9.1,6.5′ × 5.6′
M85[102],NGC 4382,—,,Lenticular galaxy,"56,000–64,000",Coma Berenices,9.1,7.1′ × 5.5′
M86[103],NGC 4406,—,,Lenticular galaxy,"49,000–55,000",Virgo,8.9,8.9′ × 5.8′
M87[104],NGC 4486,Virgo A,,Elliptical galaxy,"51,870–55,130",Virgo,8.6,7.2′ × 6.8′
M88[105],NGC 4501,—,,Spiral galaxy,"39,000–56,000",Coma Berenices,9.6,6.9′ × 3.7′
M89[106],NGC 4552,—,,Elliptical galaxy,"47,000–53,000",Virgo,9.8,5.1′ × 4.7′
M90[107],NGC 4569,—,,Spiral galaxy,"55,900–61,500",Virgo,9.5,9.5′ × 4.4′
M91[108],NGC 4548,—,,Barred Spiral galaxy,"47,000–79,000",Coma Berenices,10.2,5.4′ × 4.3′
M92[109],NGC 6341,—,,Globular cluster,26.7,Hercules,6.4,14′
M93[110],NGC 2447,Critter Cluster,,Open cluster,3.6,Puppis,6.0,10′
M94[111],NGC 4736,Crocodile EyeorCat's Eye Galaxy,,Spiral galaxy,"14,700–17,300",Canes Venatici,8.2,11.2′ × 9.1′
M95[112],NGC 3351,—,,Barred Spiral galaxy,"31,200–34,000",Leo,9.7,3.1′ × 2.9′
M96[113],NGC 3368,—,,Spiral galaxy,"28,000–34,000",Leo,9.2,7.6′ × 5.2′
M97[114],NGC 3587,Owl Nebula,,Planetary nebula,2.03,Ursa Major,9.9,3.4′ × 3.3′
M98[115],NGC 4192,—,,Spiral galaxy,"44,400",Coma Berenices,10.1,9.8′ × 2.8′
M99[116],NGC 4254,St. Catherine's Wheel,,Spiral galaxy,"44,700–55,700",Coma Berenices,9.9,5.4′ × 4.7′
M100[117],NGC 4321,Mirror Galaxy,,Spiral galaxy,"55,000",Coma Berenices,9.3,7.4′ × 6.3′
M101[118],NGC 5457,Pinwheel Galaxy,,Spiral galaxy,"19,100–22,400",Ursa Major,7.9,28.8′ × 26.9′
M102[119],NGC 5866,Spindle Galaxy,,Lenticular galaxy,"50,000",Draco,9.9,4.7′ × 1.9′
M103[120],NGC 581,—,,Open cluster,10,Cassiopeia,7.4,6′
M104[121],NGC 4594,Sombrero Galaxy,,Spiral galaxy,"28,700–30,900",Virgo,8.0,9′ × 4′
M105[122],NGC 3379,—,,Elliptical galaxy,"30,400–33,600",Leo,9.3,5.4′ × 4.8′
M106[123],NGC 4258,—,,Spiral galaxy,"22,200–25,200",Canes Venatici,8.4,18.6′ × 7.2′
M107[124],NGC 6171,Crucifix Cluster,,Globular cluster,20.9,Ophiuchus,7.9,10′
M108[125],NGC 3556,Surfboard Galaxy,,Barred Spiral galaxy,"46,000",Ursa Major,10.0,8.7′ × 2.2′
M109[126],NGC 3992,Vacuum Cleaner Galaxy,,Barred Spiral galaxy,"59,500–107,500",Ursa Major,9.8,7.6′ × 4.7′
M110[127],NGC 205,Andromeda Satellite #2,,Dwarf elliptical galaxy,"2,600–2,780",Andromeda,8.5,21.9′ × 11.0′
